type    ,sharpening ,windowSize ,neighbourhood ,buckets ,histnormalise ,k-nearest ,auc                ,precision           ,recall
moran   ,direct     ,         3 ,euclidean     ,     90 ,none          ,        4 ,0.8148496240601503 ,0.9473684210526315  ,0.6428571428571429
moran   ,direct     ,         3 ,euclidean     ,     90 ,none          ,        5 ,0.7725563909774436 ,0.8888888888888888  ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,     90 ,none          ,        6 ,0.8082706766917294 ,0.9                 ,0.6428571428571429
moran   ,direct     ,         3 ,euclidean     ,    120 ,none          ,        2 ,0.8421052631578948 ,0.8076923076923077  ,0.75
moran   ,direct     ,         3 ,euclidean     ,    120 ,none          ,        3 ,0.7838345864661654 ,0.85                ,0.6071428571428571
moran   ,direct     ,         3 ,euclidean     ,    120 ,none          ,        4 ,0.8505639097744361 ,0.9523809523809523  ,0.7142857142857143
moran   ,direct     ,         3 ,euclidean     ,    120 ,none          ,        5 ,0.8082706766917294 ,0.9                 ,0.6428571428571429
moran   ,direct     ,         3 ,euclidean     ,    120 ,none          ,        6 ,0.8261278195488722 ,0.9047619047619048  ,0.6785714285714286
moran   ,direct     ,         3 ,euclidean     ,    150 ,none          ,        2 ,0.7265037593984962 ,0.64                ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,    150 ,none          ,        3 ,0.7593984962406015 ,0.8                 ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,    150 ,none          ,        4 ,0.8016917293233082 ,0.8571428571428571  ,0.6428571428571429
moran   ,direct     ,         3 ,euclidean     ,    150 ,none          ,        5 ,0.7725563909774436 ,0.8888888888888888  ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,    150 ,none          ,        6 ,0.7904135338345865 ,0.8947368421052632  ,0.6071428571428571
moran   ,direct     ,         3 ,euclidean     ,     30 ,row           ,        2 ,0.7265037593984962 ,0.64                ,0.5714285714285714
moran   ,direct     ,         3 ,euclidean     ,     30 ,row           ,        3 ,0.6926691729323309 ,0.6842105263157895  ,0.4642857142857143
moran   ,direct     ,         3 ,euclidean     ,     30 ,row           ,        4 ,0.6926691729323309 ,0.6842105263157895  ,0.4642857142857143
moran   ,direct     ,         3 ,euclidean     ,     30 ,row           ,        5 ,0.6635338345864662 ,0.6875              ,0.39285714285714285
moran   ,direct     ,         3 ,euclidean     ,     30 ,row           ,        6 ,0.6879699248120301 ,0.75                ,0.42857142857142855
moran   ,direct     ,         3 ,euclidean     ,     60 ,row           ,        2 ,0.8176691729323309 ,0.7692307692307693  ,0.7142857142857143
